          // seed 111
0000 c000 lbi r0, 0 // icount 0
0002 c101 lbi r1, 1 // icount 1
0004 c2ff lbi r2, -1 // icount 2
0006 c40a lbi r4, 10 // icount 3
0008 20f4 j .rlabel_0 // icount 4
000a dc58 add r6, r4, r2 // icount 5
2996 f6bc sle r7, r6, r5 // icount 5323
2998 d2eb srl r2, r2, r7 // icount 5324
299a e5e4 seq r1, r5, r7 // icount 5325
299c e474 seq r5, r4, r3 // icount 5326
299e d936 xor r5, r1, r1 // icount 5327
29a0 dce0 add r0, r4, r7 // icount 5328
29a2 d114 rol r5, r1, r0 // icount 5329
29a4 db86 xor r1, r3, r4 // icount 5330
29a6 ddc8 add r2, r5, r6 // icount 5331
29a8 db15 sub r5, r3, r0 // icount 5332
29aa f668 sle r2, r6, r3 // icount 5333
29ac d958 add r6, r1, r2 // icount 5334
29ae d76a ror r2, r7, r3 // icount 5335
29b0 d1fa ror r6, r1, r7 // icount 5336
29b2 dd3d sub r7, r5, r1 // icount 5337
29b4 d41c rol r7, r4, r0 // icount 5338
29b6 d1c8 rol r2, r1, r6 // icount 5339
29b8 da8b andn r2, r2, r4 // icount 5340
29ba d73c rol r7, r7, r1 // icount 5341
29bc f728 sle r2, r7, r1 // icount 5342
29be dde5 sub r1, r5, r7 // icount 5343
29c0 d040 rol r0, r0, r2 // icount 5344
29c2 ffe8 sco r2, r7, r7 // icount 5345
29c4 d1dc rol r7, r1, r6 // icount 5346
29c6 d10e ror r3, r1, r0 // icount 5347
29c8 d6c3 srl r0, r6, r6 // icount 5348
29ca d4ba ror r6, r4, r5 // icount 5349
29cc      .rlabel_124:
29cc 6910 bnez r1, .rlabel_125 // icount 5350
29ce d140 rol r0, r1, r2 // icount 5351
29d0 eebc slt r7, r6, r5 // icount 5352
29d2 d590 rol r4, r5, r4 // icount 5353
29d4 e3c8 seq r2, r3, r6 // icount 5354
29d6 d14f srl r3, r1, r2 // icount 5355
29d8 e638 seq r6, r6, r1 // icount 5356
29da d97d sub r7, r1, r3 // icount 5357
29dc df8d sub r3, r7, r4 // icount 5358
29de      .rlabel_125:
29de 6008 beqz r0, .rlabel_126 // icount 5359
29e0 f854 sco r5, r0, r2 // icount 5360
29e2 d8b3 andn r4, r0, r5 // icount 5361
29e4 d00d sll r3, r0, r0 // icount 5362
29e6 f410 sle r4, r4, r0 // icount 5363
29e8      .rlabel_126:
29e8 204e j .rlabel_127 // icount 5364
29ea d94c add r3, r1, r2 // icount 5365
29ec d7a6 ror r1, r7, r5 // icount 5366
29ee f5b0 sle r4, r5, r5 // icount 5367
29f0 ff80 sco r0, r7, r4 // icount 5368
29f2 d492 ror r4, r4, r4 // icount 5369
29f4 dd62 xor r0, r5, r3 // icount 5370
29f6 db2f andn r3, r3, r1 // icount 5371
29f8 d4fb srl r6, r4, r7 // icount 5372
29fa d7fc rol r7, r7, r7 // icount 5373
29fc d684 rol r1, r6, r4 // icount 5374
29fe e418 seq r6, r4, r0 // icount 5375
2a00 da6a xor r2, r2, r3 // icount 5376
2a02 d021 sll r0, r0, r1 // icount 5377
2a04 ea00 slt r0, r2, r0 // icount 5378
2a06 dd26 xor r1, r5, r1 // icount 5379
2a08 d76f srl r3, r7, r3 // icount 5380
2a0a d702 ror r0, r7, r0 // icount 5381
2a0c d698 rol r6, r6, r4 // icount 5382
2a0e d734 rol r5, r7, r1 // icount 5383
2a10 d181 sll r0, r1, r4 // icount 5384
2a12 e628 seq r2, r6, r1 // icount 5385
2a14 d371 sll r4, r3, r3 // icount 5386
2a16 d093 srl r4, r0, r4 // icount 5387
2a18 fc10 sco r4, r4, r0 // icount 5388
2a1a dabf andn r7, r2, r5 // icount 5389
2a1c d234 rol r5, r2, r1 // icount 5390
2a1e f75c sle r7, r7, r2 // icount 5391
2a20 d101 sll r0, r1, r0 // icount 5392
2a22 fb90 sco r4, r3, r4 // icount 5393
2a24 d37f srl r7, r3, r3 // icount 5394
2a26 dbac add r3, r3, r5 // icount 5395
2a28 d386 ror r1, r3, r4 // icount 5396
2a2a d53b srl r6, r5, r1 // icount 5397
2a2c d55f srl r7, r5, r2 // icount 5398
2a2e d76c rol r3, r7, r3 // icount 5399
2a30 e9c8 slt r2, r1, r6 // icount 5400
2a32 f8e0 sco r0, r0, r7 // icount 5401
2a34 dfd0 add r4, r7, r6 // icount 5402
2a36 dab8 add r6, r2, r5 // icount 5403
2a38      .rlabel_127:
2a38 7208 bltz r2, .rlabel_128 // icount 5404
2a3a dc9d sub r7, r4, r4 // icount 5405
2a3c dd58 add r6, r5, r2 // icount 5406
2a3e dbc9 sub r2, r3, r6 // icount 5407
2a40 d591 sll r4, r5, r4 // icount 5408
2a42      .rlabel_128:
2a42 2020 j .rlabel_129 // icount 5409
2a44 f784 sle r1, r7, r4 // icount 5410
2a46 f238 sle r6, r2, r1 // icount 5411
2a48 deae xor r3, r6, r5 // icount 5412
2a4a dab1 sub r4, r2, r5 // icount 5413
2a4c d284 rol r1, r2, r4 // icount 5414
2a4e e8f4 slt r5, r0, r7 // icount 5415
2a50 f318 sle r6, r3, r0 // icount 5416
2a52 d7c7 srl r1, r7, r6 // icount 5417
2a54 d71e ror r7, r7, r0 // icount 5418
2a56 d04e ror r3, r0, r2 // icount 5419
2a58 e9a4 slt r1, r1, r5 // icount 5420
2a5a e8f0 slt r4, r0, r7 // icount 5421
2a5c e494 seq r5, r4, r4 // icount 5422
2a5e dbd2 xor r4, r3, r6 // icount 5423
2a60 d9b8 add r6, r1, r5 // icount 5424
2a62 d94c add r3, r1, r2 // icount 5425
2a64      .rlabel_129:
2a64 20d2 j .rlabel_130 // icount 5426
2a66 d82d sub r3, r0, r1 // icount 5427
2a68 f108 sle r2, r1, r0 // icount 5428
2a6a f1a0 sle r0, r1, r5 // icount 5429
2a6c dac2 xor r0, r2, r6 // icount 5430
2a6e f43c sle r7, r4, r1 // icount 5431
2a70 fca8 sco r2, r4, r5 // icount 5432
2a72 df4a xor r2, r7, r2 // icount 5433
2a74 e3a0 seq r0, r3, r5 // icount 5434
2a76 ddc9 sub r2, r5, r6 // icount 5435
2a78 ddba xor r6, r5, r5 // icount 5436
2a7a f478 sle r6, r4, r3 // icount 5437
2a7c d089 sll r2, r0, r4 // icount 5438
2a7e fd24 sco r1, r5, r1 // icount 5439
2a80 d15c rol r7, r1, r2 // icount 5440
2a82 f7a4 sle r1, r7, r5 // icount 5441
2a84 e818 slt r6, r0, r0 // icount 5442
2a86 de5c add r7, r6, r2 // icount 5443
2a88 f018 sle r6, r0, r0 // icount 5444
2a8a d018 rol r6, r0, r0 // icount 5445
2a8c fc9c sco r7, r4, r4 // icount 5446
2a8e d5dd sll r7, r5, r6 // icount 5447
2a90 dc27 andn r1, r4, r1 // icount 5448
2a92 f6e0 sle r0, r6, r7 // icount 5449
2a94 f380 sle r0, r3, r4 // icount 5450
2a96 d038 rol r6, r0, r1 // icount 5451
2a98 dd86 xor r1, r5, r4 // icount 5452
2a9a e10c seq r3, r1, r0 // icount 5453
2a9c db4a xor r2, r3, r2 // icount 5454
2a9e db85 sub r1, r3, r4 // icount 5455
2aa0 dda9 sub r2, r5, r5 // icount 5456
2aa2 dbec add r3, r3, r7 // icount 5457
2aa4 d116 ror r5, r1, r0 // icount 5458
2aa6 de1a xor r6, r6, r0 // icount 5459
2aa8 f6ec sle r3, r6, r7 // icount 5460
2aaa dacf andn r3, r2, r6 // icount 5461
2aac e134 seq r5, r1, r1 // icount 5462
2aae db11 sub r4, r3, r0 // icount 5463
2ab0 d5d3 srl r4, r5, r6 // icount 5464
2ab2 d9ad sub r3, r1, r5 // icount 5465
2ab4 fca4 sco r1, r4, r5 // icount 5466
2ab6 d11f srl r7, r1, r0 // icount 5467
2ab8 ddd5 sub r5, r5, r6 // icount 5468
2aba d7af srl r3, r7, r5 // icount 5469
2abc dbd0 add r4, r3, r6 // icount 5470
2abe d94e xor r3, r1, r2 // icount 5471
2ac0 f424 sle r1, r4, r1 // icount 5472
2ac2 e5a4 seq r1, r5, r5 // icount 5473
2ac4 d7e9 sll r2, r7, r7 // icount 5474
2ac6 d622 ror r0, r6, r1 // icount 5475
2ac8 d261 sll r0, r2, r3 // icount 5476
2aca d97e xor r7, r1, r3 // icount 5477
2acc dedd sub r7, r6, r6 // icount 5478
2ace d965 sub r1, r1, r3 // icount 5479
2ad0 d12b srl r2, r1, r1 // icount 5480
2ad2 d59b srl r6, r5, r4 // icount 5481
2ad4 d121 sll r0, r1, r1 // icount 5482
2ad6 f014 sle r5, r0, r0 // icount 5483
2ad8 d357 srl r5, r3, r2 // icount 5484
2ada e818 slt r6, r0, r0 // icount 5485
2adc ef48 slt r2, r7, r2 // icount 5486
2ade d7aa ror r2, r7, r5 // icount 5487
2ae0 d930 add r4, r1, r1 // icount 5488
2ae2 d0a4 rol r1, r0, r5 // icount 5489
2ae4 d1fd sll r7, r1, r7 // icount 5490
2ae6 dba9 sub r2, r3, r5 // icount 5491
2ae8 f744 sle r1, r7, r2 // icount 5492
2aea efe4 slt r1, r7, r7 // icount 5493
2aec d0cc rol r3, r0, r6 // icount 5494
2aee dff8 add r6, r7, r7 // icount 5495
2af0 d394 rol r5, r3, r4 // icount 5496
2af2 e038 seq r6, r0, r1 // icount 5497
2af4 eea4 slt r1, r6, r5 // icount 5498
2af6 f9e0 sco r0, r1, r7 // icount 5499
2af8 de25 sub r1, r6, r1 // icount 5500
2afa d1d8 rol r6, r1, r6 // icount 5501
2afc d777 srl r5, r7, r3 // icount 5502
2afe d3fb srl r6, r3, r7 // icount 5503
2b00 d32e ror r3, r3, r1 // icount 5504
2b02 d21f srl r7, r2, r0 // icount 5505
2b04 dbc5 sub r1, r3, r6 // icount 5506
2b06 df2b andn r2, r7, r1 // icount 5507
2b08 f170 sle r4, r1, r3 // icount 5508
2b0a d981 sub r0, r1, r4 // icount 5509
2b0c da92 xor r4, r2, r4 // icount 5510
2b0e e17c seq r7, r1, r3 // icount 5511
2b10 e080 seq r0, r0, r4 // icount 5512
2b12 f0d4 sle r5, r0, r6 // icount 5513
2b14 d10e ror r3, r1, r0 // icount 5514
2b16 e100 seq r0, r1, r0 // icount 5515
2b18 d056 ror r5, r0, r2 // icount 5516
2b1a d16b srl r2, r1, r3 // icount 5517
2b1c d6a6 ror r1, r6, r5 // icount 5518
2b1e d8ff andn r7, r0, r7 // icount 5519
2b20 df1a xor r6, r7, r0 // icount 5520
2b22 d008 rol r2, r0, r0 // icount 5521
2b24 dff1 sub r4, r7, r7 // icount 5522
2b26 d2b3 srl r4, r2, r5 // icount 5523
2b28 e350 seq r4, r3, r2 // icount 5524
2b2a df2e xor r3, r7, r1 // icount 5525
2b2c d43b srl r6, r4, r1 // icount 5526
2b2e e970 slt r4, r1, r3 // icount 5527
2b30 dfe0 add r0, r7, r7 // icount 5528
2b32 d0aa ror r2, r0, r5 // icount 5529
2b34 d138 rol r6, r1, r1 // icount 5530
2b36 d54b srl r2, r5, r2 // icount 5531
2b38      .rlabel_130:
2b38 2030 j .rlabel_131 // icount 5532
2b3a d7c3 srl r0, r7, r6 // icount 5533
2b3c d209 sll r2, r2, r0 // icount 5534
2b3e dc78 add r6, r4, r3 // icount 5535
2b40 e178 seq r6, r1, r3 // icount 5536
2b42 dd06 xor r1, r5, r0 // icount 5537
2b44 d77b srl r6, r7, r3 // icount 5538
2b46 d24d sll r3, r2, r2 // icount 5539
2b48 d61e ror r7, r6, r0 // icount 5540
2b4a d5c2 ror r0, r5, r6 // icount 5541
2b4c edbc slt r7, r5, r5 // icount 5542
2b4e d26e ror r3, r2, r3 // icount 5543
2b50 e5a8 seq r2, r5, r5 // icount 5544
2b52 ea6c slt r3, r2, r3 // icount 5545
2b54 d32a ror r2, r3, r1 // icount 5546
2b56 d2e3 srl r0, r2, r7 // icount 5547
2b58 dc8c add r3, r4, r4 // icount 5548
2b5a ded7 andn r5, r6, r6 // icount 5549
2b5c deed sub r3, r6, r7 // icount 5550
2b5e dcad sub r3, r4, r5 // icount 5551
2b60 e610 seq r4, r6, r0 // icount 5552
2b62 d4b3 srl r4, r4, r5 // icount 5553
2b64 d4a4 rol r1, r4, r5 // icount 5554
2b66 d9bc add r7, r1, r5 // icount 5555
2b68 d2d0 rol r4, r2, r6 // icount 5556
2b6a      .rlabel_131:
2b6a 20b2 j .rlabel_132 // icount 5557
2b6c fcf0 sco r4, r4, r7 // icount 5558
2b6e d03a ror r6, r0, r1 // icount 5559
2b70 dc30 add r4, r4, r1 // icount 5560
2b72 d9c0 add r0, r1, r6 // icount 5561
2b74 d62e ror r3, r6, r1 // icount 5562
2b76 d706 ror r1, r7, r0 // icount 5563
2b78 da6a xor r2, r2, r3 // icount 5564
2b7a d060 rol r0, r0, r3 // icount 5565
2b7c d26f srl r3, r2, r3 // icount 5566
2b7e eefc slt r7, r6, r7 // icount 5567
2b80 d118 rol r6, r1, r0 // icount 5568
2b82 d847 andn r1, r0, r2 // icount 5569
2b84 da41 sub r0, r2, r2 // icount 5570
2b86 d4dd sll r7, r4, r6 // icount 5571
2b88 dc3a xor r6, r4, r1 // icount 5572
2b8a fa68 sco r2, r2, r3 // icount 5573
2b8c d808 add r2, r0, r0 // icount 5574
2b8e d693 srl r4, r6, r4 // icount 5575
2b90 d47b srl r6, r4, r3 // icount 5576
2b92 e19c seq r7, r1, r4 // icount 5577
2b94 ff5c sco r7, r7, r2 // icount 5578
2b96 dca2 xor r0, r4, r5 // icount 5579
2b98 e018 seq r6, r0, r0 // icount 5580
2b9a d887 andn r1, r0, r4 // icount 5581
2b9c dfd0 add r4, r7, r6 // icount 5582
2b9e fb04 sco r1, r3, r0 // icount 5583
2ba0 ff54 sco r5, r7, r2 // icount 5584
2ba2 d658 rol r6, r6, r2 // icount 5585
2ba4 defc add r7, r6, r7 // icount 5586
2ba6 d8c8 add r2, r0, r6 // icount 5587
2ba8 dcba xor r6, r4, r5 // icount 5588
2baa f818 sco r6, r0, r0 // icount 5589
2bac d75d sll r7, r7, r2 // icount 5590
2bae d4c3 srl r0, r4, r6 // icount 5591
2bb0 ff10 sco r4, r7, r0 // icount 5592
2bb2 d8d0 add r4, r0, r6 // icount 5593
2bb4 d8c6 xor r1, r0, r6 // icount 5594
2bb6 ddd2 xor r4, r5, r6 // icount 5595
2bb8 d71c rol r7, r7, r0 // icount 5596
2bba dc20 add r0, r4, r1 // icount 5597
2bbc d9b0 add r4, r1, r5 // icount 5598
2bbe fe44 sco r1, r6, r2 // icount 5599
2bc0 d9b9 sub r6, r1, r5 // icount 5600
2bc2 e7a4 seq r1, r7, r5 // icount 5601
2bc4 e16c seq r3, r1, r3 // icount 5602
2bc6 e06c seq r3, r0, r3 // icount 5603
2bc8 e0fc seq r7, r0, r7 // icount 5604
2bca ed10 slt r4, r5, r0 // icount 5605
2bcc fe6c sco r3, r6, r3 // icount 5606
2bce e870 slt r4, r0, r3 // icount 5607
2bd0 daf3 andn r4, r2, r7 // icount 5608
2bd2 f534 sle r5, r5, r1 // icount 5609
2bd4 f68c sle r3, r6, r4 // icount 5610
2bd6 d12b srl r2, r1, r1 // icount 5611
2bd8 f2a0 sle r0, r2, r5 // icount 5612
2bda d67c rol r7, r6, r3 // icount 5613
2bdc fb54 sco r5, r3, r2 // icount 5614
2bde d10c rol r3, r1, r0 // icount 5615
2be0 d832 xor r4, r0, r1 // icount 5616
2be2 da76 xor r5, r2, r3 // icount 5617
2be4 dc57 andn r5, r4, r2 // icount 5618
2be6 d30f srl r3, r3, r0 // icount 5619
2be8 d038 rol r6, r0, r1 // icount 5620
2bea d8d0 add r4, r0, r6 // icount 5621
2bec dc14 add r5, r4, r0 // icount 5622
2bee d048 rol r2, r0, r2 // icount 5623
2bf0 d719 sll r6, r7, r0 // icount 5624
2bf2 d0e5 sll r1, r0, r7 // icount 5625
2bf4 d62f srl r3, r6, r1 // icount 5626
2bf6 d155 sll r5, r1, r2 // icount 5627
2bf8 d726 ror r1, r7, r1 // icount 5628
2bfa ff10 sco r4, r7, r0 // icount 5629
2bfc d7f5 sll r5, r7, r7 // icount 5630
2bfe d4e4 rol r1, r4, r7 // icount 5631
2c00 e18c seq r3, r1, r4 // icount 5632
2c02 f098 sle r6, r0, r4 // icount 5633
2c04 db28 add r2, r3, r1 // icount 5634
2c06 d442 ror r0, r4, r2 // icount 5635
2c08 dfef andn r3, r7, r7 // icount 5636
2c0a dd63 andn r0, r5, r3 // icount 5637
2c0c db0c add r3, r3, r0 // icount 5638
2c0e e354 seq r5, r3, r2 // icount 5639
2c10 e494 seq r5, r4, r4 // icount 5640
2c12 d69b srl r6, r6, r4 // icount 5641
2c14 d7c3 srl r0, r7, r6 // icount 5642
2c16 e4b0 seq r4, r4, r5 // icount 5643
2c18 f5c4 sle r1, r5, r6 // icount 5644
2c1a d3f2 ror r4, r3, r7 // icount 5645
2c1c ea78 slt r6, r2, r3 // icount 5646
2c1e      .rlabel_132:
2c1e 200e j .rlabel_133 // icount 5647
2c20 d3f7 srl r5, r3, r7 // icount 5648
2c22 deca xor r2, r6, r6 // icount 5649
2c24 d2eb srl r2, r2, r7 // icount 5650
2c26 e98c slt r3, r1, r4 // icount 5651
2c28 dadb andn r6, r2, r6 // icount 5652
2c2a fbd4 sco r5, r3, r6 // icount 5653
2c2c ec9c slt r7, r4, r4 // icount 5654
2c2e      .rlabel_133:
2c2e 2088 j .rlabel_134 // icount 5655
2c30 dd80 add r0, r5, r4 // icount 5656
2c32 db6f andn r3, r3, r3 // icount 5657
2c34 da57 andn r5, r2, r2 // icount 5658
2c36 d727 srl r1, r7, r1 // icount 5659
2c38 ea5c slt r7, r2, r2 // icount 5660
2c3a d05c rol r7, r0, r2 // icount 5661
2c3c f4b8 sle r6, r4, r5 // icount 5662
2c3e d4b0 rol r4, r4, r5 // icount 5663
2c40 db7d sub r7, r3, r3 // icount 5664
2c42 f308 sle r2, r3, r0 // icount 5665
2c44 dd56 xor r5, r5, r2 // icount 5666
2c46 d897 andn r5, r0, r4 // icount 5667
2c48 da8d sub r3, r2, r4 // icount 5668
2c4a dce4 add r1, r4, r7 // icount 5669
2c4c d769 sll r2, r7, r3 // icount 5670
2c4e db9e xor r7, r3, r4 // icount 5671
2c50 db81 sub r0, r3, r4 // icount 5672
2c52 dca8 add r2, r4, r5 // icount 5673
2c54 d48c rol r3, r4, r4 // icount 5674
2c56 eb80 slt r0, r3, r4 // icount 5675
2c58 db9e xor r7, r3, r4 // icount 5676
2c5a d271 sll r4, r2, r3 // icount 5677
2c5c ee04 slt r1, r6, r0 // icount 5678
2c5e fab8 sco r6, r2, r5 // icount 5679
2c60 dc2d sub r3, r4, r1 // icount 5680
2c62 f338 sle r6, r3, r1 // icount 5681
2c64 d2b5 sll r5, r2, r5 // icount 5682
2c66 f0e0 sle r0, r0, r7 // icount 5683
2c68 dcdd sub r7, r4, r6 // icount 5684
2c6a d4b3 srl r4, r4, r5 // icount 5685
2c6c fa24 sco r1, r2, r1 // icount 5686
2c6e f20c sle r3, r2, r0 // icount 5687
2c70 d8fa xor r6, r0, r7 // icount 5688
2c72 df8b andn r2, r7, r4 // icount 5689
2c74 d2c5 sll r1, r2, r6 // icount 5690
2c76 de1a xor r6, r6, r0 // icount 5691
2c78 d962 xor r0, r1, r3 // icount 5692
2c7a d3be ror r7, r3, r5 // icount 5693
2c7c d762 ror r0, r7, r3 // icount 5694
2c7e d082 ror r0, r0, r4 // icount 5695
2c80 dc92 xor r4, r4, r4 // icount 5696
2c82 f69c sle r7, r6, r4 // icount 5697
2c84 dba6 xor r1, r3, r5 // icount 5698
2c86 dad2 xor r4, r2, r6 // icount 5699
2c88 d5fb srl r6, r5, r7 // icount 5700
2c8a db12 xor r4, r3, r0 // icount 5701
2c8c dbea xor r2, r3, r7 // icount 5702
2c8e d794 rol r5, r7, r4 // icount 5703
2c90 e20c seq r3, r2, r0 // icount 5704
2c92 fc94 sco r5, r4, r4 // icount 5705
2c94 df4e xor r3, r7, r2 // icount 5706
2c96 d919 sub r6, r1, r0 // icount 5707
2c98 df62 xor r0, r7, r3 // icount 5708
2c9a e6c8 seq r2, r6, r6 // icount 5709
2c9c f7a8 sle r2, r7, r5 // icount 5710
2c9e e704 seq r1, r7, r0 // icount 5711
2ca0 d880 add r0, r0, r4 // icount 5712
2ca2 da63 andn r0, r2, r3 // icount 5713
2ca4 e864 slt r1, r0, r3 // icount 5714
2ca6 e8a0 slt r0, r0, r5 // icount 5715
2ca8 d26e ror r3, r2, r3 // icount 5716
2caa e124 seq r1, r1, r1 // icount 5717
2cac ef0c slt r3, r7, r0 // icount 5718
2cae e4f8 seq r6, r4, r7 // icount 5719
2cb0 d035 sll r5, r0, r1 // icount 5720
2cb2 d9d6 xor r5, r1, r6 // icount 5721
2cb4 ff88 sco r2, r7, r4 // icount 5722
2cb6 ddba xor r6, r5, r5 // icount 5723
2cb8      .rlabel_134:
2cb8 3068 jal .rlabel_135 // icount 5724
2cba df49 sub r2, r7, r2 // icount 5725
2cbc da8f andn r3, r2, r4 // icount 5726
2cbe db24 add r1, r3, r1 // icount 5727
2cc0 d8f2 xor r4, r0, r7 // icount 5728
2cc2 fdc4 sco r1, r5, r6 // icount 5729
2cc4 d3b4 rol r5, r3, r5 // icount 5730
2cc6 d33e ror r7, r3, r1 // icount 5731
2cc8 d07f srl r7, r0, r3 // icount 5732
2cca d3a0 rol r0, r3, r5 // icount 5733
2ccc e058 seq r6, r0, r2 // icount 5734
2cce d1f5 sll r5, r1, r7 // icount 5735
2cd0 dea6 xor r1, r6, r5 // icount 5736
2cd2 dda4 add r1, r5, r5 // icount 5737
2cd4 d8fd sub r7, r0, r7 // icount 5738
2cd6 df3b andn r6, r7, r1 // icount 5739
2cd8 d4c0 rol r0, r4, r6 // icount 5740
2cda eedc slt r7, r6, r6 // icount 5741
2cdc fce4 sco r1, r4, r7 // icount 5742
2cde f308 sle r2, r3, r0 // icount 5743
2ce0 d702 ror r0, r7, r0 // icount 5744
2ce2 d323 srl r0, r3, r1 // icount 5745
2ce4 efb8 slt r6, r7, r5 // icount 5746
2ce6 d5fb srl r6, r5, r7 // icount 5747
2ce8 ff44 sco r1, r7, r2 // icount 5748
2cea edf4 slt r5, r5, r7 // icount 5749
2cec e4d0 seq r4, r4, r6 // icount 5750
2cee f628 sle r2, r6, r1 // icount 5751
2cf0 ebf0 slt r4, r3, r7 // icount 5752
2cf2 dbb5 sub r5, r3, r5 // icount 5753
2cf4 dbf6 xor r5, r3, r7 // icount 5754
2cf6 dc0d sub r3, r4, r0 // icount 5755
2cf8 e918 slt r6, r1, r0 // icount 5756
2cfa da37 andn r5, r2, r1 // icount 5757
2cfc db06 xor r1, r3, r0 // icount 5758
2cfe d556 ror r5, r5, r2 // icount 5759
2d00 d531 sll r4, r5, r1 // icount 5760
2d02 d708 rol r2, r7, r0 // icount 5761
2d04 dc25 sub r1, r4, r1 // icount 5762
2d06 dfdb andn r6, r7, r6 // icount 5763
2d08 d278 rol r6, r2, r3 // icount 5764
2d0a d515 sll r5, r5, r0 // icount 5765
2d0c d056 ror r5, r0, r2 // icount 5766
2d0e d0d9 sll r6, r0, r6 // icount 5767
2d10 debd sub r7, r6, r5 // icount 5768
2d12 d100 rol r0, r1, r0 // icount 5769
2d14 daf2 xor r4, r2, r7 // icount 5770
2d16 d68e ror r3, r6, r4 // icount 5771
2d18 dad4 add r5, r2, r6 // icount 5772
2d1a f878 sco r6, r0, r3 // icount 5773
2d1c dbf5 sub r5, r3, r7 // icount 5774
2d1e efa8 slt r2, r7, r5 // icount 5775
2d20 d1e8 rol r2, r1, r7 // icount 5776
2d22      .rlabel_135:
2d22 7b02 bgez r3, .rlabel_136 // icount 5777
2d24 d064 rol r1, r0, r3 // icount 5778
2d26      .rlabel_136:
2d26 2044 j .rlabel_137 // icount 5779
2d28 f838 sco r6, r0, r1 // icount 5780
2d2a d498 rol r6, r4, r4 // icount 5781
2d2c f2ec sle r3, r2, r7 // icount 5782
2d2e d454 rol r5, r4, r2 // icount 5783
2d30 d4a8 rol r2, r4, r5 // icount 5784
2d32 da6b andn r2, r2, r3 // icount 5785
2d34 f720 sle r0, r7, r1 // icount 5786
2d36 d919 sub r6, r1, r0 // icount 5787
2d38 fe7c sco r7, r6, r3 // icount 5788
2d3a d576 ror r5, r5, r3 // icount 5789
2d3c d3d6 ror r5, r3, r6 // icount 5790
2d3e df7c add r7, r7, r3 // icount 5791
2d40 d94f andn r3, r1, r2 // icount 5792
2d42 d96e xor r3, r1, r3 // icount 5793
2d44 ecd8 slt r6, r4, r6 // icount 5794
2d46 d98c add r3, r1, r4 // icount 5795
2d48 ed30 slt r4, r5, r1 // icount 5796
2d4a d8d2 xor r4, r0, r6 // icount 5797
2d4c ddb7 andn r5, r5, r5 // icount 5798
2d4e d859 sub r6, r0, r2 // icount 5799
2d50 ee84 slt r1, r6, r4 // icount 5800
2d52 d1f2 ror r4, r1, r7 // icount 5801
2d54 ddae xor r3, r5, r5 // icount 5802
2d56 f6c4 sle r1, r6, r6 // icount 5803
2d58 d501 sll r0, r5, r0 // icount 5804
2d5a d134 rol r5, r1, r1 // icount 5805
2d5c db9e xor r7, r3, r4 // icount 5806
2d5e d8e9 sub r2, r0, r7 // icount 5807
2d60 d3ea ror r2, r3, r7 // icount 5808
2d62 d932 xor r4, r1, r1 // icount 5809
2d64 f988 sco r2, r1, r4 // icount 5810
2d66 de25 sub r1, r6, r1 // icount 5811
2d68 e1f4 seq r5, r1, r7 // icount 5812
2d6a edc0 slt r0, r5, r6 // icount 5813
2d6c      .rlabel_137:
2d6c 3008 jal .rlabel_138 // icount 5814
2d6e e780 seq r0, r7, r4 // icount 5815
2d70 fb88 sco r2, r3, r4 // icount 5816
2d72 de97 andn r5, r6, r4 // icount 5817
2d74 d94b andn r2, r1, r2 // icount 5818
2d76      .rlabel_138:
2d76 6004 beqz r0, .rlabel_139 // icount 5819
2d78 fc40 sco r0, r4, r2 // icount 5820
2d7a d9ae xor r3, r1, r5 // icount 5821
2d7c      .rlabel_139:
2d7c 7b02 bgez r3, .rlabel_140 // icount 5822
2d7e d4ea ror r2, r4, r7 // icount 5823
2d80      .rlabel_140:
2d80 691e bnez r1, .rlabel_141 // icount 5824
2d82 f784 sle r1, r7, r4 // icount 5825
2d84 ece0 slt r0, r4, r7 // icount 5826
2d86 f4b4 sle r5, r4, r5 // icount 5827
2d88 dc87 andn r1, r4, r4 // icount 5828
2d8a dba5 sub r1, r3, r5 // icount 5829
2d8c d1da ror r6, r1, r6 // icount 5830
2d8e d166 ror r1, r1, r3 // icount 5831
2d90 ed0c slt r3, r5, r0 // icount 5832
2d92 dd6e xor r3, r5, r3 // icount 5833
2d94 f084 sle r1, r0, r4 // icount 5834
2d96 ebb0 slt r4, r3, r5 // icount 5835
2d98 f930 sco r4, r1, r1 // icount 5836
2d9a f8dc sco r7, r0, r6 // icount 5837
2d9c e868 slt r2, r0, r3 // icount 5838
2d9e def8 add r6, r6, r7 // icount 5839
2da0      .rlabel_141:
2da0 690a bnez r1, .rlabel_142 // icount 5840
2da2 d9be xor r7, r1, r5 // icount 5841
2da4 dd2d sub r3, r5, r1 // icount 5842
2da6 ee3c slt r7, r6, r1 // icount 5843
2da8 ddf6 xor r5, r5, r7 // icount 5844
2daa d44a ror r2, r4, r2 // icount 5845
2dac      .rlabel_142:
2dac 600a beqz r0, .rlabel_143 // icount 5846
2dae fa4c sco r3, r2, r2 // icount 5847
2db0 f778 sle r6, r7, r3 // icount 5848
2db2 e8b8 slt r6, r0, r5 // icount 5849
2db4 d7df srl r7, r7, r6 // icount 5850
2db6 d848 add r2, r0, r2 // icount 5851
2db8      .rlabel_143:
2db8 2002 j .rlabel_144 // icount 5852
2dba e3dc seq r7, r3, r6 // icount 5853
2dbc      .rlabel_144:
